"host time (us)","GPU PowerVR Series8XEP, GE8320, Device 0/Frame time","GPU PowerVR Series8XEP, GE8320, Device 0/Frames per second (FPS)","GPU PowerVR Series8XEP, GE8320, Device 0/GPU clock speed","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory interface load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory read bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory total bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory write bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer active (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler active (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Tiler triangle load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Tiles per triangle","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangle ratio (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per draw","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per second","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles output per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles output per second","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Vertices per triangle","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/HSR efficiency (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/ISP pixel load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/ISP tiles in flight (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Output pixels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Output pixels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Overdraw","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Z load/store (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Compute kernels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Compute kernels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Cycles per pixel","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Cycles per vertex","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: compute (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: pixel (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: vertex (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Register overload (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded pixels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded pixels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded vertices per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded vertices per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shader processing load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Texturing/Texture overload (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Texturing/Texturing active (%)","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","Processes/PID 23990 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","Processes/PID 482 (-)/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 23990 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","Processes/PID 23990 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","Processes/PID 482 (-)/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","Processes/PID 23990 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time"
828801400000,5.53E-02,1.81E+01,6.50E+08,2.83E+01,1.95E+09,2.98E+09,1.04E+09,1.70E+01,9.38E-03,8.48E-03,5.99E+01,3.31E-02,2.99E-02,2.19E+01,1.64E+00,3.92E+01,7.64E+03,1.67E+06,3.61E+07,6.56E+05,1.42E+07,1.01E+00,0.00E+00,1.57E-01,1.00E+02,2.40E+06,5.19E+07,1.05E+00,5.66E+00,0.00E+00,0.00E+00,1.12E+01,4.51E+01,0.00E+00,5.79E+00,1.56E+01,0.00E+00,2.52E+06,5.44E+07,1.69E+06,3.65E+07,2.14E+01,1.09E-03,6.40E+01,0.00E+00,9.53E-03,,0.00E+00,8.48E-03,0.00E+00,3.37E-02,,0.00E+00,2.99E-02
828801450000,1.03E-01,9.75E+00,6.50E+08,2.26E+01,1.29E+09,2.35E+09,1.06E+09,9.45E+01,9.69E-02,4.72E-02,8.02E+01,8.22E-02,4.01E-02,8.02E+00,1.70E+00,4.41E+01,7.08E+03,1.34E+06,1.30E+07,5.90E+05,5.75E+06,1.01E+00,0.00E+00,2.42E-01,1.00E+02,1.03E+07,1.01E+08,1.00E+00,5.13E+00,0.00E+00,0.00E+00,6.05E+01,4.40E+01,0.00E+00,5.86E+01,5.56E+00,0.00E+00,1.03E+07,1.01E+08,1.35E+06,1.31E+07,6.42E+01,4.90E+00,6.36E+01,0.00E+00,9.69E-02,,0.00E+00,4.72E-02,0.00E+00,8.22E-02,,0.00E+00,4.01E-02
828801500000,1.18E-01,8.46E+00,6.45E+08,2.87E+01,1.72E+09,2.96E+09,1.24E+09,6.73E+01,7.96E-02,3.37E-02,4.18E+01,4.94E-02,2.09E-02,1.07E+01,1.60E+00,3.55E+01,6.42E+03,2.03E+06,1.72E+07,7.22E+05,6.11E+06,1.01E+00,0.00E+00,3.35E-01,1.00E+02,1.28E+07,1.09E+08,1.09E+00,1.06E+01,0.00E+00,0.00E+00,1.91E+01,4.60E+01,0.00E+00,2.20E+01,7.77E+00,0.00E+00,1.40E+07,1.19E+08,2.06E+06,1.74E+07,2.98E+01,1.01E+00,6.59E+01,0.00E+00,7.96E-02,,0.00E+00,3.37E-02,0.00E+00,4.94E-02,,0.00E+00,2.09E-02
828801550000,1.53E-01,6.52E+00,6.50E+08,1.65E+01,6.78E+08,1.71E+09,1.03E+09,9.53E+01,1.46E-01,4.77E-02,4.29E+01,6.57E-02,2.14E-02,3.61E+00,5.27E+00,5.49E+00,1.32E+03,8.99E+05,5.86E+06,4.94E+04,3.22E+05,1.39E+00,0.00E+00,2.84E-01,1.00E+02,1.81E+07,1.18E+08,1.00E+00,5.94E+00,0.00E+00,0.00E+00,6.06E+01,2.82E+01,0.00E+00,6.87E+01,2.22E+00,0.00E+00,1.81E+07,1.18E+08,1.25E+06,8.17E+06,7.09E+01,1.13E+00,5.05E+01,0.00E+00,1.46E-01,,0.00E+00,4.77E-02,0.00E+00,6.57E-02,,0.00E+00,2.14E-02
828801600000,2.09E-01,4.79E+00,6.50E+08,2.38E+01,1.26E+09,2.48E+09,1.21E+09,9.42E+01,1.97E-01,4.71E-02,9.38E+01,1.96E-01,4.69E-02,1.58E+01,2.41E+00,7.70E+00,2.09E+03,5.34E+06,2.56E+07,4.11E+05,1.97E+06,1.40E+00,0.00E+00,3.70E-01,1.00E+02,2.35E+07,1.13E+08,1.13E+00,1.32E+01,0.00E+00,0.00E+00,3.70E+01,2.83E+01,0.00E+00,4.54E+01,9.73E+00,0.00E+00,2.66E+07,1.28E+08,7.47E+06,3.58E+07,5.52E+01,8.61E-01,6.24E+01,0.00E+00,1.97E-01,,0.00E+00,4.71E-02,0.00E+00,1.96E-01,,0.00E+00,4.69E-02
828801650000,2.09E-01,4.79E+00,6.50E+08,1.57E+01,8.14E+08,1.63E+09,8.21E+08,6.16E+01,1.29E-01,3.08E-02,8.99E+01,1.88E-01,4.49E-02,1.81E+01,2.87E+00,5.67E+00,1.96E+03,6.15E+06,2.94E+07,3.48E+05,1.67E+06,1.38E+00,0.00E+00,3.11E-01,1.00E+02,1.57E+07,7.52E+07,1.21E+00,1.23E+01,0.00E+00,0.00E+00,4.99E+01,2.88E+01,0.00E+00,4.35E+01,1.13E+01,0.00E+00,1.89E+07,9.07E+07,8.50E+06,4.07E+07,5.48E+01,8.27E-01,3.33E+01,0.00E+00,1.29E-01,,0.00E+00,3.08E-02,0.00E+00,1.88E-01,,0.00E+00,4.49E-02
828801700000,2.09E-01,4.79E+00,6.50E+08,3.00E+01,1.92E+09,3.12E+09,1.20E+09,6.25E+01,1.30E-01,3.12E-02,9.01E+01,1.88E-01,4.50E-02,2.03E+01,1.62E+00,3.56E+01,9.33E+03,6.88E+06,3.30E+07,2.45E+06,1.17E+07,1.07E+00,0.00E+00,5.44E-01,1.00E+02,1.66E+07,7.93E+07,1.56E+00,2.25E+01,0.00E+00,0.00E+00,2.62E+01,4.10E+01,0.00E+00,3.11E+01,1.39E+01,0.00E+00,2.58E+07,1.23E+08,7.36E+06,3.53E+07,4.50E+01,1.35E-01,7.18E+01,0.00E+00,1.30E-01,,0.00E+00,3.12E-02,0.00E+00,1.88E-01,,0.00E+00,4.50E-02
828801750000,1.63E-01,6.13E+00,6.50E+08,2.31E+01,1.28E+09,2.40E+09,1.12E+09,9.61E+01,1.57E-01,4.81E-02,2.87E+01,4.68E-02,1.43E-02,3.24E+00,3.31E+00,6.02E+00,1.34E+03,8.59E+05,5.26E+06,5.17E+04,3.17E+05,1.21E+00,4.79E+00,1.14E+00,1.00E+02,1.73E+07,1.06E+08,2.12E+00,4.51E+01,0.00E+00,0.00E+00,2.72E+01,3.91E+01,0.00E+00,5.90E+01,2.39E+00,0.00E+00,3.68E+07,2.25E+08,1.04E+06,6.37E+06,6.14E+01,1.92E-03,6.84E+01,0.00E+00,1.57E-01,,0.00E+00,4.81E-02,0.00E+00,4.68E-02,,0.00E+00,1.43E-02
828801800000,1.16E-01,8.59E+00,6.50E+08,2.74E+01,1.74E+09,2.89E+09,1.15E+09,3.71E+01,4.32E-02,1.86E-02,7.18E+01,8.36E-02,3.59E-02,2.62E+01,1.65E+00,3.12E+01,8.25E+03,4.38E+06,4.31E+07,1.37E+06,1.35E+07,1.12E+00,0.00E+00,1.99E-01,1.00E+02,6.84E+06,6.73E+07,1.06E+00,9.94E+00,0.00E+00,0.00E+00,1.48E+01,3.87E+01,0.00E+00,9.94E+00,1.76E+01,0.00E+00,7.21E+06,7.10E+07,4.89E+06,4.81E+07,2.76E+01,6.89E-02,7.23E+01,0.00E+00,4.32E-02,,0.00E+00,1.86E-02,0.00E+00,8.36E-02,,0.00E+00,3.59E-02
828801850000,1.17E-01,8.56E+00,6.50E+08,1.41E+01,5.13E+08,1.47E+09,9.54E+08,9.34E+01,1.09E-01,4.67E-02,2.80E+01,3.27E-02,1.40E-02,2.25E+00,2.10E+00,5.26E+00,1.22E+03,4.27E+05,3.66E+06,2.25E+04,1.92E+05,1.04E+00,0.00E+00,3.81E-01,1.00E+02,1.27E+07,1.09E+08,1.21E+00,2.30E+01,0.00E+00,0.00E+00,5.29E+01,5.06E+01,0.00E+00,6.72E+01,1.84E+00,0.00E+00,1.54E+07,1.32E+08,4.43E+05,3.79E+06,6.90E+01,2.00E+00,5.23E+01,0.00E+00,1.09E-01,,0.00E+00,4.67E-02,0.00E+00,3.27E-02,,0.00E+00,1.40E-02
