"host time (us)","GPU PowerVR Series8XEP, GE8320, Device 0/Frame time","GPU PowerVR Series8XEP, GE8320, Device 0/Frames per second (FPS)","GPU PowerVR Series8XEP, GE8320, Device 0/GPU clock speed","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory interface load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory read bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory total bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory write bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer active (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler active (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Tiler triangle load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Tiles per triangle","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangle ratio (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per draw","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per second","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles output per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles output per second","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Vertices per triangle","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/HSR efficiency (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/ISP pixel load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/ISP tiles in flight (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Output pixels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Output pixels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Overdraw","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Z load/store (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Compute kernels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Compute kernels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Cycles per pixel","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Cycles per vertex","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: compute (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: pixel (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: vertex (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Register overload (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded pixels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded pixels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded vertices per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded vertices per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shader processing load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Texturing/Texture overload (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Texturing/Texturing active (%)","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","Processes/PID 21070 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 21070 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","Processes/PID 21070 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","Processes/PID 21070 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time"
820510300000,1.74E-01,5.75E+00,6.50E+08,1.67E+01,8.60E+08,1.74E+09,8.78E+08,6.96E+01,1.21E-01,3.48E-02,9.25E+01,1.61E-01,4.62E-02,1.72E+01,2.80E+00,5.36E+00,2.06E+03,4.85E+06,2.79E+07,2.60E+05,1.49E+06,1.39E+00,0.00E+00,4.93E-01,1.00E+02,1.37E+07,7.86E+07,1.44E+00,2.19E+01,0.00E+00,0.00E+00,4.71E+01,2.83E+01,0.00E+00,5.12E+01,1.06E+01,0.00E+00,1.97E+07,1.13E+08,6.76E+06,3.89E+07,6.18E+01,6.43E-01,3.85E+01,,1.21E-01,,3.48E-02,,1.61E-01,,4.62E-02
820510350000,1.74E-01,5.75E+00,6.50E+08,2.42E+01,1.43E+09,2.52E+09,1.09E+09,7.10E+01,1.23E-01,3.55E-02,9.12E+01,1.59E-01,4.56E-02,1.51E+01,2.06E+00,2.69E+01,4.72E+03,4.27E+06,2.46E+07,1.15E+06,6.61E+06,1.14E+00,8.03E+00,9.32E-01,1.00E+02,1.30E+07,7.51E+07,2.38E+00,3.71E+01,0.00E+00,0.00E+00,3.18E+01,3.78E+01,0.00E+00,5.45E+01,1.02E+01,0.00E+00,3.10E+07,1.78E+08,4.88E+06,2.80E+07,6.47E+01,2.25E-01,6.61E+01,,1.23E-01,,3.55E-02,,1.59E-01,,4.56E-02
820510400000,1.14E-01,8.80E+00,6.50E+08,1.88E+01,1.08E+09,2.12E+09,1.04E+09,4.12E+01,4.68E-02,2.06E-02,4.09E+01,4.64E-02,2.04E-02,1.06E+01,2.13E+00,3.66E+01,3.09E+03,1.86E+06,1.87E+07,6.81E+05,6.82E+06,1.14E+00,5.97E+01,4.11E-01,1.00E+02,6.53E+06,6.54E+07,5.70E-01,1.04E+01,0.00E+00,0.00E+00,3.84E+01,3.94E+01,0.00E+00,1.27E+01,7.42E+00,0.00E+00,3.72E+06,3.73E+07,2.12E+06,2.12E+07,2.02E+01,1.33E-01,4.98E+01,,4.68E-02,,2.06E-02,,4.64E-02,,2.04E-02
820510450000,1.05E-01,9.54E+00,6.50E+08,1.47E+01,6.50E+08,1.53E+09,8.82E+08,8.65E+01,9.07E-02,4.33E-02,2.29E+01,2.41E-02,1.15E-02,3.43E+00,2.45E+00,7.76E+00,1.91E+03,5.84E+05,5.57E+06,4.53E+04,4.33E+05,1.03E+00,0.00E+00,2.94E-01,1.00E+02,1.07E+07,1.02E+08,1.09E+00,1.26E+01,0.00E+00,0.00E+00,5.68E+01,4.84E+01,0.00E+00,6.11E+01,2.66E+00,0.00E+00,1.17E+07,1.12E+08,5.99E+05,5.72E+06,6.37E+01,2.30E+00,5.47E+01,,9.07E-02,,4.33E-02,,2.41E-02,,1.15E-02
820510500000,7.95E-02,1.26E+01,6.50E+08,1.51E+01,7.27E+08,1.59E+09,8.66E+08,5.38E+01,4.28E-02,2.69E-02,1.61E+01,1.28E-02,8.05E-03,5.04E+00,1.42E+01,8.39E-01,2.12E+03,5.91E+05,8.33E+06,4.96E+03,6.99E+04,1.39E+00,3.21E+01,4.15E-01,1.00E+02,7.06E+06,9.94E+07,6.00E-01,5.63E+00,0.00E+00,0.00E+00,3.95E+01,2.81E+01,0.00E+00,2.23E+01,3.08E+00,0.00E+00,4.23E+06,5.96E+07,8.22E+05,1.16E+07,2.54E+01,4.47E-01,4.40E+01,,4.28E-02,,2.69E-02,,1.28E-02,,8.05E-03
820510550000,8.52E-02,1.17E+01,6.50E+08,2.03E+01,1.09E+09,2.11E+09,1.02E+09,6.64E+01,5.65E-02,3.32E-02,5.21E+01,4.44E-02,2.60E-02,1.09E+01,2.03E+00,3.60E+01,4.94E+03,1.51E+06,1.77E+07,5.42E+05,6.37E+06,1.02E+00,0.00E+00,2.67E-01,1.00E+02,7.49E+06,8.79E+07,1.21E+00,1.37E+01,0.00E+00,0.00E+00,4.68E+01,4.55E+01,0.00E+00,4.77E+01,7.91E+00,0.00E+00,9.03E+06,1.06E+08,1.54E+06,1.81E+07,5.56E+01,1.18E+00,6.35E+01,,5.65E-02,,3.32E-02,,4.44E-02,,2.60E-02
820510600000,1.69E-01,5.90E+00,6.50E+08,1.58E+01,7.14E+08,1.77E+09,1.05E+09,7.19E+01,1.22E-01,3.60E-02,2.13E+00,3.61E-03,1.06E-03,5.41E-04,3.63E+02,1.00E+02,1.50E+00,1.32E+02,9.44E+02,1.32E+02,9.44E+02,2.00E+00,3.27E+01,4.86E-01,1.00E+02,1.62E+07,1.16E+08,6.31E-01,7.17E+00,0.00E+00,0.00E+00,5.76E+01,6.13E+01,0.00E+00,3.77E+01,1.04E-03,0.00E+00,1.02E+07,7.30E+07,2.64E+02,1.89E+03,3.77E+01,9.03E-01,3.92E+01,,1.22E-01,,3.60E-02,,3.61E-03,,1.06E-03
820510650000,1.69E-01,5.90E+00,6.50E+08,1.51E+01,9.14E+08,1.65E+09,7.39E+08,2.24E+01,3.80E-02,1.12E-02,3.01E+01,5.10E-02,1.50E-02,9.63E+00,2.50E+00,1.67E+01,3.01E+03,2.02E+06,1.64E+07,3.37E+05,2.74E+06,1.27E+00,0.00E+00,5.48E-02,1.00E+02,1.43E+07,1.16E+08,9.99E-01,1.13E+00,0.00E+00,0.00E+00,1.58E+01,3.25E+01,0.00E+00,1.67E+01,6.19E+00,0.00E+00,1.43E+07,1.16E+08,2.56E+06,2.08E+07,2.29E+01,3.60E-01,7.09E+01,,3.80E-02,,1.12E-02,,5.10E-02,,1.50E-02
820510700000,1.69E-01,5.90E+00,6.50E+08,1.94E+01,1.02E+09,2.01E+09,9.92E+08,7.30E+01,1.24E-01,3.65E-02,4.02E+01,6.81E-02,2.01E-02,7.36E+00,1.94E+00,3.79E+01,3.72E+03,2.03E+06,1.20E+07,7.68E+05,4.53E+06,1.02E+00,0.00E+00,3.13E-01,1.00E+02,1.53E+07,9.00E+07,1.16E+00,1.54E+01,0.00E+00,0.00E+00,5.45E+01,4.67E+01,0.00E+00,5.48E+01,5.46E+00,0.00E+00,1.77E+07,1.05E+08,2.06E+06,1.22E+07,6.03E+01,5.07E-01,6.17E+01,,1.24E-01,,3.65E-02,,6.81E-02,,2.01E-02
820510750000,7.11E-02,1.41E+01,6.50E+08,2.29E+01,1.08E+09,2.38E+09,1.29E+09,9.30E+01,6.61E-02,4.65E-02,6.03E+01,4.29E-02,3.02E-02,9.18E+00,2.56E+00,9.46E+00,1.79E+03,1.06E+06,1.49E+07,1.00E+05,1.41E+06,1.40E+00,1.47E+01,7.03E-01,1.00E+02,9.42E+06,1.33E+08,9.41E-01,1.95E+01,0.00E+00,0.00E+00,4.15E+01,2.86E+01,0.00E+00,4.97E+01,5.73E+00,0.00E+00,8.86E+06,1.25E+08,1.48E+06,2.08E+07,5.55E+01,3.81E-01,3.71E+01,,1.55E-01,,4.65E-02,,1.00E-01,,3.02E-02
820510800000,3.44E-02,2.91E+01,6.50E+08,1.84E+01,9.41E+08,1.91E+09,9.73E+08,7.88E+01,2.71E-02,3.94E-02,9.30E+01,3.20E-02,4.65E-02,1.51E+01,2.86E+00,5.88E+00,1.95E+03,8.42E+05,2.45E+07,4.95E+04,1.44E+06,1.39E+00,0.00E+00,6.54E-01,1.00E+02,3.06E+06,8.90E+07,1.61E+00,2.69E+01,0.00E+00,0.00E+00,4.23E+01,2.85E+01,0.00E+00,5.84E+01,9.32E+00,0.00E+00,4.94E+06,1.44E+08,1.17E+06,3.41E+07,6.77E+01,4.30E-01,4.24E+01,2.12E-04,1.30E-01,2.12E-04,3.92E-02,1.38E-04,1.54E-01,1.39E-04,4.64E-02
820510850000,8.22E-02,1.22E+01,6.50E+08,1.72E+01,8.67E+08,1.79E+09,9.24E+08,7.46E+01,6.14E-02,3.73E-02,9.27E+01,7.62E-02,4.63E-02,1.53E+01,2.76E+00,5.51E+00,2.09E+03,2.04E+06,2.49E+07,1.13E+05,1.37E+06,1.38E+00,0.00E+00,6.26E-01,1.00E+02,6.98E+06,8.49E+07,1.62E+00,2.74E+01,0.00E+00,0.00E+00,4.23E+01,2.86E+01,0.00E+00,5.60E+01,9.44E+00,0.00E+00,1.13E+07,1.38E+08,2.82E+06,3.43E+07,6.54E+01,6.02E-01,4.17E+01,0.00E+00,1.24E-01,0.00E+00,3.73E-02,0.00E+00,1.54E-01,0.00E+00,4.63E-02
820510900000,6.54E-02,1.53E+01,6.50E+08,2.70E+01,1.59E+09,2.81E+09,1.23E+09,5.16E+01,3.37E-02,2.58E-02,6.37E+01,4.17E-02,3.19E-02,1.38E+01,2.08E+00,4.68E+01,5.02E+03,1.43E+06,2.25E+07,6.70E+05,1.05E+07,1.01E+00,5.31E+01,5.44E-01,1.00E+02,4.24E+06,6.67E+07,8.00E-01,1.32E+01,0.00E+00,0.00E+00,3.67E+01,4.61E+01,0.00E+00,1.88E+01,1.01E+01,0.00E+00,3.39E+06,5.33E+07,1.45E+06,2.28E+07,2.88E+01,1.96E-01,5.85E+01,0.00E+00,4.10E-02,0.00E+00,2.58E-02,0.00E+00,5.07E-02,0.00E+00,3.19E-02
820510950000,6.59E-02,1.52E+01,6.50E+08,1.80E+01,9.23E+08,1.88E+09,9.54E+08,7.96E+01,5.25E-02,3.98E-02,3.34E+01,2.20E-02,1.67E-02,5.47E+00,2.16E+00,3.05E+01,2.19E+03,5.86E+05,8.89E+06,1.79E+05,2.71E+06,1.02E+00,0.00E+00,2.33E-01,1.00E+02,6.39E+06,9.70E+07,1.00E+00,4.88E+00,0.00E+00,0.00E+00,6.05E+01,4.74E+01,0.00E+00,5.65E+01,4.14E+00,0.00E+00,6.40E+06,9.71E+07,5.98E+05,9.08E+06,6.06E+01,1.69E+00,5.84E+01,0.00E+00,5.25E-02,0.00E+00,3.98E-02,0.00E+00,2.20E-02,0.00E+00,1.67E-02
820511000000,8.55E-02,1.17E+01,6.50E+08,2.89E+01,1.73E+09,3.00E+09,1.28E+09,9.61E+01,8.22E-02,4.80E-02,5.76E+01,4.93E-02,2.88E-02,8.45E+00,2.03E+00,4.43E+01,4.19E+03,1.17E+06,1.37E+07,5.20E+05,6.09E+06,1.02E+00,0.00E+00,4.59E-01,1.00E+02,9.27E+06,1.08E+08,1.10E+00,8.99E+00,0.00E+00,0.00E+00,3.76E+01,4.66E+01,0.00E+00,4.29E+01,6.25E+00,0.00E+00,1.02E+07,1.19E+08,1.19E+06,1.40E+07,4.92E+01,2.59E+00,7.30E+01,0.00E+00,8.22E-02,0.00E+00,4.80E-02,0.00E+00,4.93E-02,0.00E+00,2.88E-02
820511050000,7.35E-02,1.36E+01,6.50E+08,2.71E+01,1.53E+09,2.82E+09,1.29E+09,9.69E+01,7.12E-02,4.84E-02,3.49E+01,2.57E-02,1.75E-02,6.18E+00,2.07E+00,5.70E+01,8.10E+03,7.39E+05,1.00E+07,4.21E+05,5.73E+06,1.01E+00,0.00E+00,4.61E-01,1.00E+02,8.23E+06,1.12E+08,1.08E+00,1.11E+01,0.00E+00,0.00E+00,4.09E+01,4.50E+01,0.00E+00,4.75E+01,4.39E+00,0.00E+00,8.89E+06,1.21E+08,7.45E+05,1.01E+07,5.19E+01,8.68E-01,6.73E+01,0.00E+00,7.12E-02,0.00E+00,4.84E-02,0.00E+00,2.57E-02,0.00E+00,1.75E-02
820511100000,7.09E-02,1.41E+01,6.50E+08,1.69E+01,7.87E+08,1.76E+09,9.73E+08,8.74E+01,6.20E-02,4.37E-02,1.96E+01,1.39E-02,9.82E-03,3.04E+00,3.07E+00,1.31E+01,1.26E+03,3.51E+05,4.94E+06,4.58E+04,6.45E+05,1.03E+00,0.00E+00,2.72E-01,1.00E+02,7.82E+06,1.10E+08,1.01E+00,6.20E+00,0.00E+00,0.00E+00,5.75E+01,4.93E+01,0.00E+00,6.17E+01,2.42E+00,0.00E+00,7.92E+06,1.12E+08,3.62E+05,5.10E+06,6.41E+01,1.58E+00,5.55E+01,0.00E+00,6.20E-02,0.00E+00,4.37E-02,0.00E+00,1.39E-02,0.00E+00,9.82E-03
