"host time (us)","GPU PowerVR Series8XEP, GE8320, Device 0/Frame time","GPU PowerVR Series8XEP, GE8320, Device 0/Frames per second (FPS)","GPU PowerVR Series8XEP, GE8320, Device 0/GPU clock speed","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory interface load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory read bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory total bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/GPU memory write bytes per second","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer active (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler active (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Tiler triangle load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Tiles per triangle","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangle ratio (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per draw","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles input per second","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles output per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Triangles output per second","GPU PowerVR Series8XEP, GE8320, Device 0/Tiler/Vertices per triangle","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/HSR efficiency (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/ISP pixel load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/ISP tiles in flight (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Output pixels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Output pixels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Overdraw","GPU PowerVR Series8XEP, GE8320, Device 0/Renderer/Z load/store (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Compute kernels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Compute kernels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Cycles per pixel","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Cycles per vertex","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: compute (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: pixel (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Processing load: vertex (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Register overload (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded pixels per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded pixels per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded vertices per frame","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shaded vertices per second","GPU PowerVR Series8XEP, GE8320, Device 0/Shader/Shader processing load (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Texturing/Texture overload (%)","GPU PowerVR Series8XEP, GE8320, Device 0/Texturing/Texturing active (%)","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","Processes/PID 23040 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time per frame","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 23040 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Renderer time","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","Processes/PID 23040 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time per frame","Processes/PID 1290 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time","Processes/PID 23040 ()/GPU PowerVR Series8XEP, GE8320, Device 0/Tiler time"
827273950000,1.94E-01,5.15E+00,6.50E+08,1.41E+01,5.95E+08,1.54E+09,9.44E+08,9.44E+01,1.83E-01,4.72E-02,9.06E+00,1.76E-02,4.53E-03,2.34E-01,3.96E+00,9.06E+00,1.90E+02,7.39E+04,4.00E+05,6.70E+03,3.62E+04,1.20E+00,0.00E+00,2.78E-01,1.00E+02,2.18E+07,1.18E+08,1.03E+00,8.02E+00,0.00E+00,0.00E+00,5.75E+01,7.88E+01,0.00E+00,6.39E+01,3.46E-01,0.00E+00,2.24E+07,1.21E+08,8.85E+04,4.79E+05,6.43E+01,2.06E+00,5.52E+01,,1.83E-01,,4.72E-02,,1.76E-02,,4.53E-03
827274000000,2.06E-01,4.86E+00,6.50E+08,0.00E+00,,,,3.57E+01,7.35E-02,1.79E-02,4.23E+00,8.72E-03,2.12E-03,0.00E+00,,,,0.00E+00,,0.00E+00,,,,0.00E+00,1.00E+02,0.00E+00,,,0.00E+00,0.00E+00,,,,0.00E+00,0.00E+00,0.00E+00,0.00E+00,0.00E+00,,0.00E+00,,0.00E+00,0.00E+00,1.00E+02,,7.35E-02,,1.79E-02,,8.72E-03,,2.12E-03
827274050000,2.06E-01,4.86E+00,6.50E+08,2.27E+01,2.06E+09,3.21E+09,1.15E+09,3.43E+01,7.07E-02,1.72E-02,6.44E+01,1.33E-01,3.22E-02,1.97E+01,1.63E+00,3.23E+01,8.82E+03,5.95E+06,4.35E+07,1.92E+06,1.40E+07,1.08E+00,0.00E+00,1.25E-01,1.00E+02,1.07E+07,7.81E+07,1.02E+00,5.38E+00,0.00E+00,0.00E+00,2.44E+01,4.04E+01,0.00E+00,1.38E+01,1.34E+01,0.00E+00,1.09E+07,7.95E+07,6.42E+06,4.69E+07,2.72E+01,8.87E-02,8.05E+01,,7.07E-02,,1.72E-02,,1.33E-01,,3.22E-02
827274100000,2.06E-01,4.86E+00,6.50E+08,2.01E+01,9.91E+08,2.09E+09,1.10E+09,8.98E+01,1.85E-01,4.49E-02,3.74E+01,7.71E-02,1.87E-02,5.10E+00,1.62E+00,3.18E+01,2.60E+03,1.71E+06,8.28E+06,5.43E+05,2.64E+06,1.02E+00,0.00E+00,4.01E-01,1.00E+02,2.35E+07,1.14E+08,1.16E+00,2.14E+01,0.00E+00,0.00E+00,4.79E+01,4.77E+01,0.00E+00,6.10E+01,3.88E+00,0.00E+00,2.72E+07,1.32E+08,1.74E+06,8.46E+06,6.48E+01,1.15E+00,6.08E+01,,1.85E-01,,4.49E-02,,7.71E-02,,1.87E-02
827274150000,8.76E-02,1.14E+01,6.50E+08,2.74E+01,1.69E+09,2.85E+09,1.16E+09,7.78E+01,6.82E-02,3.89E-02,6.08E+01,5.33E-02,3.04E-02,1.55E+01,1.77E+00,2.49E+01,4.48E+03,2.21E+06,2.52E+07,5.51E+05,6.29E+06,1.14E+00,0.00E+00,2.74E-01,1.00E+02,8.35E+06,9.53E+07,1.10E+00,9.04E+00,0.00E+00,0.00E+00,3.45E+01,3.75E+01,0.00E+00,3.47E+01,1.04E+01,0.00E+00,9.18E+06,1.05E+08,2.52E+06,2.87E+07,4.51E+01,1.42E+00,7.52E+01,,6.82E-02,,3.89E-02,,5.33E-02,,3.04E-02
827274200000,9.12E-02,1.10E+01,6.50E+08,2.65E+01,1.44E+09,2.76E+09,1.32E+09,8.93E+01,8.14E-02,4.46E-02,5.37E+01,4.90E-02,2.69E-02,9.97E+00,1.68E+00,3.68E+01,3.55E+03,1.48E+06,1.62E+07,5.44E+05,5.97E+06,1.02E+00,0.00E+00,4.55E-01,1.00E+02,1.10E+07,1.21E+08,1.20E+00,1.89E+01,0.00E+00,0.00E+00,3.81E+01,4.66E+01,0.00E+00,5.31E+01,7.38E+00,0.00E+00,1.32E+07,1.45E+08,1.50E+06,1.65E+07,6.05E+01,7.76E-01,6.62E+01,,8.14E-02,,4.46E-02,,4.90E-02,,2.69E-02
827274250000,1.57E-01,6.36E+00,6.50E+08,2.51E+01,1.33E+09,2.61E+09,1.29E+09,9.60E+01,1.51E-01,4.80E-02,7.89E+01,1.24E-01,3.95E-02,1.39E+01,2.54E+00,8.26E+00,1.96E+03,3.55E+06,2.26E+07,2.93E+05,1.87E+06,1.40E+00,0.00E+00,4.50E-01,1.00E+02,2.04E+07,1.30E+08,1.21E+00,1.61E+01,0.00E+00,0.00E+00,3.18E+01,2.84E+01,0.00E+00,4.82E+01,8.64E+00,0.00E+00,2.47E+07,1.57E+08,4.97E+06,3.16E+07,5.68E+01,4.00E-01,6.37E+01,,1.51E-01,,4.80E-02,,1.24E-01,,3.95E-02
827274300000,1.57E-01,6.36E+00,6.50E+08,2.01E+01,1.02E+09,2.09E+09,1.07E+09,9.53E+01,1.50E-01,4.76E-02,9.57E+01,1.50E-01,4.78E-02,1.21E+01,2.67E+00,5.94E+00,1.95E+03,3.09E+06,1.96E+07,1.83E+05,1.17E+06,1.38E+00,0.00E+00,7.63E-01,1.00E+02,1.64E+07,1.04E+08,1.60E+00,3.14E+01,0.00E+00,0.00E+00,4.33E+01,2.87E+01,0.00E+00,6.97E+01,7.48E+00,0.00E+00,2.63E+07,1.67E+08,4.26E+06,2.71E+07,7.72E+01,4.87E-01,5.04E+01,,1.50E-01,,4.76E-02,,1.50E-01,,4.78E-02
827274350000,1.49E-01,6.71E+00,6.50E+08,1.82E+01,9.05E+08,1.89E+09,9.88E+08,8.34E+01,1.24E-01,4.17E-02,9.42E+01,1.41E-01,4.71E-02,1.45E+01,2.87E+00,5.19E+00,2.02E+03,3.51E+06,2.35E+07,1.82E+05,1.22E+06,1.39E+00,0.00E+00,7.01E-01,1.00E+02,1.45E+07,9.72E+07,1.61E+00,3.15E+01,0.00E+00,0.00E+00,4.09E+01,2.84E+01,0.00E+00,6.14E+01,8.91E+00,0.00E+00,2.33E+07,1.56E+08,4.87E+06,3.27E+07,7.03E+01,2.78E-01,4.49E+01,,1.24E-01,,4.17E-02,,1.41E-01,,4.71E-02
827274400000,1.07E-01,9.35E+00,6.50E+08,3.73E+01,2.45E+09,3.88E+09,1.43E+09,6.85E+01,7.32E-02,3.42E-02,9.13E+01,9.76E-02,4.56E-02,2.27E+01,1.63E+00,3.81E+01,7.34E+03,3.94E+06,3.68E+07,1.50E+06,1.40E+07,1.02E+00,0.00E+00,4.79E-01,1.00E+02,9.96E+06,9.31E+07,1.35E+00,2.03E+01,0.00E+00,0.00E+00,2.43E+01,4.45E+01,0.00E+00,2.94E+01,1.61E+01,0.00E+00,1.35E+07,1.26E+08,4.02E+06,3.76E+07,4.55E+01,4.54E-01,8.49E+01,,7.32E-02,,3.42E-02,,9.76E-02,,4.56E-02
